CH3OH transitions, v-integrated line intensity (K km/s)
----	 I_GMC.1	 I_GMC.2	 I_GMC.3	 I_GMC.4	 I_GMC.5	 I_GMC.6	 I_GMC.7	 I_GMC.8	 I_GMC.9	 I_GMC.10	 I_GMC.1a	 I_GMC.1b	 I_GMC.2a	 I_GMC.2b	 I_GMC.8p	 I_GMC.9p (Kkm/s) 
	99.70458029	84.87701877	111.06131239	32.84314139	22.29979492	91.62435198	198.72559322	97.99041118	121.34949435	16.97264169	134.08936524	103.08968899	80.65375425	97.84013031	106.50811056	133.79444582
	3.48164981	3.33730302	8.38817838	2.74329777	-0.94064805	9.20736291	15.20789376	4.43995977	5.88726102	-0.27742856	7.01071880	4.30785647	2.95635691	4.71745821	5.56469620	7.01737420
	-0.23859645	-0.79971525	6.67651943	4.36090121	-0.77054345	9.30406825	2.16996206	4.27234125	-2.23823307	-0.55932762	-1.12278196	-1.11911653	-1.11911653	-0.71438627	-0.70779144	-0.70779144
	5.10069211	3.25746194	12.76367074	4.84548373	-1.46270908	14.27437586	23.73926469	5.32172388	7.45871849	-0.50719236	9.89553802	4.37400167	3.90650415	4.38924859	7.03588746	8.45792912
	4.20256792	3.62970761	13.34447087	6.03084285	0.98382191	15.92769747	23.93278158	4.83945261	6.78993192	-1.01058151	8.96827122	3.65061969	2.26545928	4.95235618	6.14380133	7.22459919
	-0.45362565	1.57913241	13.51819074	7.18878674	2.30468164	18.23854372	7.46220618	-1.24902137	-0.53889789	-4.25987030	-1.62238800	-1.30122239	1.44285329	3.22509170	0.98383262	-0.56381549
	-1.86589969	-1.85420787	2.84167874	3.01065435	-1.20774857	5.27322677	0.88351747	-0.96170027	-0.92710394	-1.16528045	-1.14993091	-1.14993091	-0.97417273	-0.95118857	-0.80384450	-0.73294002
	21.75193618	44.45994664	119.55463011	64.60089841	35.73201627	130.49060622	102.60408176	31.12992241	34.42837300	6.75067575	25.19348515	23.61278731	37.88535665	55.42655023	36.19998745	38.12650481
	18.16333229	39.74217884	76.33293566	34.96495194	19.57828362	78.11004474	75.83060884	26.42076735	31.53868602	5.75696330	16.20475055	24.60541316	35.64058712	51.41840530	28.99566860	35.14474524
	1.01630777	2.69174828	21.96660500	14.39366657	5.07244159	29.54732308	13.63374604	1.20617773	1.85843927	1.06813482	1.15084630	1.26712172	2.02816484	3.73983764	1.12095759	2.74366028
	-0.51085038	-1.27555408	11.50197450	7.17230165	2.61911147	15.66309987	6.31554056	0.80693000	-0.95714331	-0.90564094	-0.90564094	-0.90564094	-4.79728507	-1.00648045	-1.05430407	-0.86110457
	-2.40814695	-2.39605599	5.57736879	5.68902863	2.51589761	8.32141574	1.17309180	-0.68458743	-0.68458743	-0.68458743	-1.22813107	-0.91194693	-0.88987285	-0.88987285	-0.88987285	-0.88987285
	6.01163128	9.87006015	30.60489949	15.13588066	5.90662572	31.79049531	34.19934474	9.19876144	11.57153469	0.65993024	8.47127830	7.43467815	9.62075566	13.98365624	11.34202554	12.45766044
	2.66581288	0.73291241	14.80097175	8.15930908	2.79176923	18.52437926	20.27600061	2.46553653	4.16264599	-0.45145049	6.89429044	1.62700888	1.53116329	1.88116411	4.36663704	4.15657843
	-0.73082088	1.76004876	13.54569675	11.95003447	7.35074081	17.14172421	5.76008741	-0.56640223	0.83418697	-1.29250291	0.70497024	-0.63409924	1.90149581	1.70348486	0.74493056	0.95443180
	1.45642665	0.52207962	12.08264097	9.41871611	3.61441152	16.08516835	15.60009913	1.72138437	1.78524015	-0.23683690	4.56751524	1.73196599	-0.28940308	0.58518022	2.83185961	2.06031744
	0.81520352	0.57494072	16.04270875	10.74771983	5.25885694	21.75524448	13.33942553	1.55879981	2.21476936	0.31651990	3.25847974	1.29901091	0.65682151	1.17790680	2.90371648	2.50066787
	0.83275606	-0.43367067	7.27825738	5.55490877	1.37337214	9.95087162	9.59915987	0.53695512	0.62141342	-1.28994618	2.25848322	0.37471390	-0.91282935	-0.67917211	0.90825559	0.74701055
	0.81939583	-1.98137224	7.61216015	7.19062910	1.85575977	11.38643973	8.05516996	1.02792550	0.82336944	-0.21710352	1.96848372	0.51510874	-0.44227349	-0.44227349	1.72942556	0.93077633
	6.73092855	6.02977434	20.27045851	6.38863474	2.09847507	19.49592000	24.96452048	6.78526719	9.39364225	1.04964464	11.84541965	6.33851324	6.01841164	7.76842216	9.09246745	10.06272921
	4.26996628	7.20516422	36.03762973	29.24185877	13.58328006	53.37334806	19.70637410	6.25022633	6.80301303	1.46163475	6.15197571	4.10178847	6.61057337	9.28927254	7.15971573	7.24979995
	4.72599826	7.15161420	44.69273789	45.40058786	28.87972641	66.84509915	26.04258537	5.89185361	7.50023670	0.87986674	8.65283088	4.61711090	6.81388821	10.17824041	7.34016309	8.21526856
	3.64684828	5.30794885	44.08970022	40.45035151	19.76167077	63.10388422	24.04473279	5.11710137	6.51954035	0.65112791	7.78747443	3.79258646	4.47538177	7.32112433	6.69723326	7.09389782
	3.92221975	6.58596233	27.43071367	12.09609196	5.41861699	32.65436261	23.48512845	5.55179065	6.74930798	0.65406163	6.33537175	4.70415020	5.82301764	8.98846787	6.74465462	7.69194236
	1.11178312	-0.38352032	13.96793798	17.59750733	8.47662413	22.85591036	7.98599763	1.04043791	1.74627602	0.30852713	3.00810127	0.61854907	-0.23117884	0.48999543	1.64800777	1.98810831
	0.66911831	-0.62627090	8.45592976	11.29037555	5.62008577	16.74278471	5.00886049	0.61414502	1.18274929	0.38926865	1.74338577	0.38160530	0.28010223	-0.48195348	1.13864778	0.96879733
	1.47228103	0.29748114	9.86700052	8.50188492	2.75701777	15.11603585	6.43118532	0.79560636	0.91540140	-0.36732597	3.38179331	0.43564530	0.51973932	0.37251953	1.81092922	0.89134614
	-0.57206655	-0.54646930	3.84394958	3.19384696	0.55126655	5.38292152	3.36099112	-0.78138535	-0.40250382	-1.24601318	-0.49835400	-0.38715644	-0.69684242	-0.68034879	0.53161478	-0.48059683
	4.32424154	4.68419152	33.18284240	43.99478833	24.51487198	57.31180109	25.09071974	6.48637482	8.25661370	0.74867738	6.77784941	5.35866573	4.64771900	6.60420025	7.95216068	9.40857431
	1.59501580	2.04071966	21.55187529	15.93342111	12.74276881	29.27414120	14.45832834	1.70033522	3.53557492	-0.34306697	3.32593915	1.45557717	1.77533869	2.98944096	2.86677080	3.98622804
