CH3OH transitions, v-integrated line intensity (K km/s)
----	 I_GMC.1	 I_GMC.2	 I_GMC.3	 I_GMC.4	 I_GMC.5	 I_GMC.6	 I_GMC.7	 I_GMC.8	 I_GMC.9	 I_GMC.10	 I_GMC.1a	 I_GMC.1b	 I_GMC.2a	 I_GMC.2b	 I_GMC.8p	 I_GMC.9p (Kkm/s) 
	14.95596412	12.73186399	16.65943208	4.92727532	3.34620785	13.74395088	29.80897642	14.69882828	18.20264180	2.54752341	20.11360618	15.46371828	12.09839796	14.67628949	15.97646731	20.06937101
	0.53074236	0.50906547	1.26158371	0.42175787	0.31354935	1.38430230	2.28312157	0.67231455	0.88791796	0.88216658	1.05575709	0.65298545	0.45320532	0.71363584	0.83986806	1.05679849
	0.74607769	0.26657175	1.00449408	0.65879410	0.25684782	1.39787456	0.33507000	0.98352537	0.74607769	0.18644254	0.37426065	0.74607769	0.74607769	0.23812876	0.74607769	0.74607769
	0.78439829	0.51704109	1.92191988	0.74622631	0.48756969	2.14804742	3.56503753	0.81577494	1.13150939	1.61276892	1.49414277	0.67825115	0.61040348	0.67974738	1.06898727	1.28028505
	0.64619581	0.56189754	2.00643264	0.91522966	0.32464659	2.39332697	3.59269536	0.73894749	1.02791916	0.33686050	1.35255406	0.56551943	0.36800960	0.75572982	0.93209570	1.09285769
	1.41846192	0.27967409	2.03311418	1.08852193	0.38301396	2.73995707	1.12949801	0.41634046	0.17963263	1.41995677	0.54079600	0.43374080	0.26401724	0.50610042	0.21384840	0.18793850
	0.62196656	1.38204495	0.44994666	0.47502209	0.40258286	0.80458735	0.23455382	0.32056676	1.38204495	0.38842682	1.38204495	1.38204495	0.32472424	1.38204495	0.26794817	1.38204495
	3.26698593	6.67095538	17.93391682	9.69148612	5.36235749	19.57428278	15.39149214	4.67226159	5.16679117	1.02603957	3.78256436	3.54573944	5.68515924	8.31555753	5.43243611	5.72134317
	2.72913729	5.96335449	11.45098469	5.24704738	2.94104534	11.71757368	11.37569037	3.96613133	4.73341512	0.89140614	2.43579274	3.69419769	5.34865979	7.71432812	4.35215991	5.27408274
	0.23611673	0.43731913	3.29922435	2.16557635	0.78002511	4.43538984	2.05218529	0.25880431	0.32695058	0.28990178	0.25217986	0.25556252	0.35306879	0.58559180	0.24040387	0.44559946
	1.59740046	0.42518469	1.73331550	1.08879912	0.45208115	2.35562776	0.96251371	0.24375607	0.31904777	1.59740046	1.59740046	1.59740046	1.59909502	0.33549348	0.35143469	0.28703486
	0.80271565	1.59737066	0.85302003	0.86962810	0.41951491	1.25977358	0.28816068	1.59737066	1.59737066	1.59737066	0.40937702	0.30398231	1.59737066	1.59737066	1.59737066	1.59737066
	0.90800542	1.48416282	4.59190175	2.27276642	0.89236510	4.76974867	5.13099339	1.38369138	1.73884780	0.14821798	1.27504245	1.12021270	1.44694571	2.10012899	1.70451970	1.87164391
	0.41324480	0.15326527	2.22243375	1.22808736	0.43586235	2.78056841	3.04314658	0.38332640	0.63257232	0.15048350	1.03921128	0.26515990	0.25151053	0.29983122	0.66287978	0.63195120
	0.24360696	0.29296946	2.03577716	1.79699917	1.11041488	2.57450036	0.87361309	0.18880074	0.17829265	0.43083430	0.17184704	0.21136641	0.31280455	0.28534734	0.19222760	0.19281422
	0.23306926	0.11215009	1.81409604	1.41501138	0.54814077	2.41411046	2.34139157	0.26988120	0.27918053	0.75309333	0.68976218	0.27191593	0.09646769	0.11805600	0.43213286	0.31930442
	0.14857608	0.11294039	2.40730693	1.61351675	0.79172909	3.26398105	2.00204609	0.24291378	0.33874776	0.10543954	0.49333507	0.20615419	0.11911460	0.18868206	0.44061546	0.38109386
	0.15398273	0.14455689	1.09447958	0.83686377	0.22229901	1.49472783	1.44204779	0.11682007	0.12447741	0.42998206	0.34779470	0.10158222	0.30427645	0.22639070	0.15711911	0.13718712
	0.18225906	0.66045741	1.14389111	1.08080641	0.29174039	1.70941138	1.21031781	0.17051441	0.14314570	0.65930240	0.30361522	0.16644538	0.65930240	0.65930240	0.26856156	0.15854950
	1.01093824	0.90585224	3.04097690	0.95960355	0.31891313	2.92483162	3.74502452	1.01900865	1.40993647	0.16557204	1.77753478	0.95214058	0.90418163	1.16633952	1.36479993	1.51026868
	0.64253785	1.08193332	5.40587372	4.38656446	2.03813513	8.00616404	2.95639441	0.93885493	1.02167906	0.22514347	0.92418360	0.61737054	0.99287715	1.39428980	1.07513635	1.08866079
	0.71266515	1.07512472	6.70428820	6.81046390	4.33257674	10.02702876	3.90706509	0.88663718	1.12730758	0.15293502	1.29993878	0.69637668	1.02463975	1.52841110	1.10337175	1.23443562
	0.55239895	0.79973022	6.61387725	6.06801799	2.96524662	9.46589104	3.60751925	0.77119464	0.98081361	0.12699017	1.17058965	0.57399669	0.67559346	1.10073638	1.00742242	1.06682467
	0.59223298	0.99011973	4.11513611	1.81562641	0.81561998	4.89861902	3.52341528	0.83537868	1.01456784	0.11928809	0.95267088	0.70884064	0.87602528	1.34990160	1.01389545	1.15576226
